sampleDate,sampleTime,Temperatue
10/21/2017,7:15:00,64.717
10/21/2017,7:30:00,65.059
10/21/2017,7:45:00,65.23
10/21/2017,8:00:00,65.316
10/21/2017,8:15:00,65.574
10/21/2017,8:30:00,65.658
10/21/2017,8:45:00,65.701
10/21/2017,9:00:00,65.701
10/21/2017,9:15:00,65.872
10/21/2017,9:30:00,65.872
10/21/2017,9:45:00,65.829
10/21/2017,10:00:00,65.829
10/21/2017,10:15:00,65.916
10/21/2017,10:30:00,65.916
10/21/2017,10:45:00,65.916
10/21/2017,11:00:00,65.872
10/21/2017,11:15:00,65.916
10/21/2017,11:30:00,66
10/21/2017,11:45:00,65.959
10/21/2017,12:00:00,66
10/21/2017,12:15:00,66.087
10/21/2017,12:30:00,66.087
10/21/2017,12:45:00,66.087
10/21/2017,13:00:00,66.087
10/21/2017,13:15:00,66.173
10/21/2017,13:30:00,66.214
10/21/2017,13:45:00,66.214
10/21/2017,14:00:00,66.429
10/21/2017,14:15:00,66.6
10/21/2017,14:30:00,66.772
10/21/2017,14:45:00,66.814
10/21/2017,15:00:00,66.772
10/21/2017,15:15:00,66.686
10/21/2017,15:30:00,66.6
10/21/2017,15:45:00,66.515
10/21/2017,16:00:00,66.472
10/21/2017,16:15:00,66.385
10/21/2017,16:30:00,66.258
10/21/2017,16:45:00,66.173
10/21/2017,17:00:00,66.043
10/21/2017,17:15:00,65.916
